Track ID,Tracks,Artists,Albums,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,Drip Harder,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511
028JxheELfIvvY4zBXuMjw,Heartless (feat. Mustard),Polo G,Heartless (feat. Mustard),0.776,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.038
3to5UxKsozb4T6CfwHuhLJ,Kamikaze,Lil Mosey,Northsbest (Extended),0.792,0.571,8,-7.539,0,0.094,0.301,0.0,0.1,0.556,99.999
696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,ROXANNE,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735
4RVbK6cV0VqWdpCDcx3hiT,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051
4RVbK6cV0VqWdpCDcx3hiT,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051
4RVbK6cV0VqWdpCDcx3hiT,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051
4RVbK6cV0VqWdpCDcx3hiT,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051
6habFhsOp2NvshLv26DqMb,Despacito,Luis Fonsi,VIDA,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928
028JxheELfIvvY4zBXuMjw,Heartless (feat. Mustard),Polo G,Heartless (feat. Mustard),0.776,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.038
696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,ROXANNE,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735
6habFhsOp2NvshLv26DqMb,Despacito,Luis Fonsi,VIDA,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928
5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,Pedro Capó,Calma (Remix),0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899
028JxheELfIvvY4zBXuMjw,Heartless (feat. Mustard),Polo G,Heartless (feat. Mustard),0.776,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.038
6habFhsOp2NvshLv26DqMb,Despacito,Luis Fonsi,VIDA,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,Drip Harder,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511
