Track ID,Tracks,Artists,Albums,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5880eYQmXx3c3oD22IljIt,Why We Thugs,Ice Cube,"Laugh Now, Cry Later",0.683,0.59,1,-5.423,1,0.458,0.326,0.0,0.148,0.653,100.892
0RmaKedniCyNZX0405E2KY,Home Sweet Home,Mötley Crüe,The Greatest Hits,0.401,0.737,5,-7.684,1,0.0342,0.0844,2.63e-06,0.173,0.152,76.727
2P884dqfjksDMSzUZksfrS,Hells Bells,AC/DC,Who Made Who,0.383,0.887,4,-4.734,0,0.0468,0.00562,0.00779,0.141,0.282,106.811
0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544
4lPJoKw24HizeIcDLqaWeE,Trampled Under Foot - 2012 Remaster,Led Zeppelin,Physical Graffiti (Deluxe Edition),0.561,0.842,2,-7.518,0,0.0566,0.239,0.412,0.0768,0.843,111.209
15pUq5xfLfD7NvTGt6NKGM,Grand Designs,Rush,Clockwork Angels Tour,0.269,0.979,2,-3.974,1,0.0781,0.00225,0.0015,0.979,0.29,141.052
6Th6ND8RQPywiyelecP5Lf,What Do You Do for Money Honey,AC/DC,Back In Black,0.532,0.858,9,-5.023,1,0.0599,0.00533,2.13e-06,0.751,0.495,125.698
1HlGblweLq0eAwnb0NY1EQ,18 and Life,Skid Row,Best Of,0.457,0.794,1,-6.624,0,0.0298,0.000384,7.26e-05,0.131,0.354,90.439
6eN1f9KNmiWEhpE2RhQqB5,Paradise City,Guns N' Roses,Appetite For Destruction,0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315
0nRSoJxUMDqgwtHgUjOFnV,Slowly Burning 2019,Cristoph,Slowly Burning 2019,0.636,0.905,4,-5.149,0,0.0453,0.091,0.422,0.105,0.357,124.974
2ZNAmdQfr8yDjoHJOUxFte,Nova,Yotto,Nova,0.622,0.876,3,-8.071,1,0.0409,0.000141,0.902,0.19,0.049,123.956
09c49mXu0SOt4qLc9QNlme,Mysteryland,Calvin Logue,Mysteryland,0.545,0.983,2,-3.646,1,0.0498,0.142,0.923,0.0988,0.552,125.999
523XDGMjH8Gbzc8V6ek5cl,Never Let You Go,SNBRN,Solé,0.752,0.662,5,-6.766,1,0.0361,0.0188,0.0935,0.212,0.371,123.996
089tprIgsyFSOrZpugamLI,Blame,Ekali,Blame,0.624,0.68,9,-7.285,0,0.0421,0.114,6.78e-05,0.0614,0.117,91.998
3BOcWxFUURAomDXRSDFve4,Something Real,Armin van Buuren,Balance,0.575,0.808,1,-4.578,1,0.0439,0.0446,0.0,0.0693,0.232,127.922
3BOcWxFUURAomDXRSDFve4,Something Real,Armin van Buuren,Balance,0.575,0.808,1,-4.578,1,0.0439,0.0446,0.0,0.0693,0.232,127.922
3BOcWxFUURAomDXRSDFve4,Something Real,Armin van Buuren,Balance,0.575,0.808,1,-4.578,1,0.0439,0.0446,0.0,0.0693,0.232,127.922
